node1	node2
s1086	s1087
s1087	s1088
s1438	s1439
s1439	s1440
s3344	s3345
s3345	s3346
s3351	s3352
s3352	s3353
s4096	s4097
s4097	s4098
s4613	s4614
s4614	s4615
s7381	s7382
s7382	s7383
s8149	s8150
s8150	s8151
s8187	s8188
s8188	s8189
s9102	s9103
s9103	s9104
s11227	s11228
s11228	s11229
s12461	s12462
s12462	s12463
s14932	s14933
s14933	s14934
s17308	s17309
s17309	s17310
s20431	s20432
s20432	s20433
s23417	s23418
s23418	s23419
s23511	s23512
s23512	s23513
s27782	s27783
s27783	s27784
s28250	s28251
s28251	s28252
s28568	s28569
s28569	s28570
s32046	s32047
s32047	s32048
s32736	s32737
s32737	s32738
s33762	s33763
s33763	s33764
s34349	s34350
s34350	s34351
s36738	s36739
s36739	s36740
s40437	s40438
s40438	s40439
s41454	s41455
s41455	s41456
s41619	s41620
s41620	s41621
s43887	s43888
s43888	s43889
s44291	s44292
s44292	s44293
s44498	s44499
s44499	s44500
s44865	s44866
s44866	s44867
s45084	s45085
s45085	s45086
s45994	s45995
s45995	s45996
s46672	s46673
s46673	s46674
s48115	s48116
s48116	s48117
s48148	s48149
s48149	s48150
s48373	s48374
s48374	s48375
s48982	s48983
s48983	s48984
s50535	s50536
s50536	s50537
s50625	s50626
s50626	s50627
s51164	s51165
s51165	s51166
s54007	s54008
s54008	s54009
s54777	s54778
s54778	s54779
s58972	s58973
s58973	s58974
s60980	s60981
s60981	s60982
s61974	s61975
s61975	s61976
s62423	s62424
s62424	s62425
s62670	s62671
s62671	s62672
s64312	s64313
s64313	s64314
s64649	s64650
s64650	s64651
s64653	s64654
s64654	s64655
s64818	s64819
s64819	s64820
s64856	s64857
s64857	s64858
s66901	s66902
s66902	s66903
s72237	s72238
s72238	s72239
s72566	s72567
s72567	s72568
s74539	s74540
s74540	s74541
s74844	s74845
s74845	s74846
s75183	s75184
s75184	s75185
s76399	s76400
s76400	s76401
s78436	s78437
s78437	s78438
s78467	s78468
s78468	s78469
s78479	s78480
s78480	s78481
s78489	s78490
s78490	s78491
s78547	s78548
s78548	s78549
s78722	s78723
s78723	s78724
s78742	s78743
s78743	s78744
s79066	s79067
s79067	s79068
s79072	s79073
s79073	s79074
s79117	s79118
s79118	s79119
s79538	s79539
s79539	s79540
s79551	s79552
s79552	s79553
s79653	s79654
s79654	s79655
s79855	s79856
s79856	s79857
s79903	s79904
s79904	s79905
s79916	s79917
s79917	s79918
s79960	s79961
s79961	s79962
s79965	s79966
s79966	s79967
s79975	s79976
s79976	s79977
s80226	s80227
s80227	s80228
s80231	s80232
s80232	s80233
s80233	s80234
s80234	s80235
s80235	s80236
s80236	s80237
s81321	s81322
s81322	s81323
