component	n_nodes	n_edges	total_length
0	11070	15918	252887253
1	10397	14997	243581282
2	7055	10154	199736777
3	8566	12367	191988905
4	8000	11528	183699583
5	8423	12136	172390938
6	9512	13712	162708296
7	6550	9464	146053634
8	5004	7226	139237030
9	7370	10614	135162061
10	5993	8686	136215379
11	6020	8707	134395119
12	5287	7633	115110679
13	3480	5011	107831622
14	3681	5295	103501095
15	5122	7378	91719986
16	5515	7940	85591271
17	4622	6641	81477920
18	5127	7410	60977143
19	4655	6672	65576314
20	2818	4058	47088816
21	3009	4340	51791142
22	4330	6222	157590176
23	1088	1508	57794900
24	1	0	16569
25	1	0	209709
26	3	3	201785
27	1	0	191469
28	4	4	182915
29	12	16	185982
30	1	0	92689
31	1	0	164239
32	26	34	153550
33	53	73	186371
34	1	0	161147
35	24	34	179873
36	1	0	161802
37	1	0	155397
38	3	3	179693
39	60	85	231443
40	1	0	15008
41	1	0	2274
42	1	0	1942
43	1	0	2165
44	1	0	1472
45	1	0	1201
46	1	0	12399
47	1	0	998
48	1	0	2276
49	1	0	1444
50	1	0	37690
51	1	0	4416
52	1	0	21476
53	1	0	1040
54	1	0	1652
55	1	0	2699
56	1	0	1368
57	1	0	1048
58	1	0	1026
59	1	0	1121
60	1	0	1428
61	1	0	1428
62	1	0	3530
63	1	0	1803
64	1	0	2855
65	1	0	8320
66	1	0	2805
67	1	0	1650
68	1	0	1451
69	1	0	2656
70	1	0	2378
71	1	0	1136
72	1	0	1048
73	1	0	1045
74	1	0	1930
75	1	0	4215
76	1	0	1750
77	1	0	1658
78	1	0	990
79	1	0	1788
80	1	0	1537
81	1	0	1216
82	1	0	1298
83	1	0	2387
84	1	0	1484
85	1	0	971
86	1	0	1308
87	1	0	970
88	1	0	1143
89	1	0	1880
90	1	0	2646
91	1	0	1179
92	1	0	2489
93	1	0	2043
94	1	0	2145
95	1	0	1029
96	1	0	2321
97	1	0	1445
98	1	0	981
99	1	0	2140
100	1	0	1884
101	1	0	1361
102	1	0	92983
103	35	48	149239
104	81	114	463308
105	1	0	7992
106	1	0	1774
107	1	0	1233
108	1	0	3920
109	1	0	4055
110	1	0	5353
111	1	0	1951
112	1	0	2318
113	1	0	2415
114	1	0	8127
115	1	0	22689
116	1	0	6361
117	1	0	1300
118	1	0	3253
119	1	0	2186
120	21	28	142464
121	1	0	7642
122	1	0	5674
123	1	0	2983
124	1	0	1899
125	1	0	2168
126	1	0	91309
127	1	0	993
128	1	0	1202
129	1	0	1599
130	1	0	31033
131	1	0	1553
132	1	0	7046
133	1	0	6504
134	1	0	1400
135	1	0	4513
136	1	0	2969
137	1	0	6158
138	1	0	44474
139	1	0	4685
140	1	0	5796
141	1	0	3041
142	1	0	175055
143	1	0	32032
144	1	0	127682
145	1	0	66860
146	1	0	40176
147	1	0	42210
148	108	148	204194
149	1	0	40745
150	1	0	41717
151	1	0	161471
152	1	0	153799
153	1	0	40062
154	1	0	38054
155	1	0	176845
156	1	0	39050
157	1	0	100316
158	139	190	210714
159	1	0	38115
160	1	0	39555
161	4	4	172811
162	1	0	43739
163	1	0	448248
164	12	16	1876739
165	111	156	329496
166	1	0	112551
167	1	0	150754
168	1	0	41543
169	22	30	180295
170	1	0	165050
171	1	0	42811
172	62	87	215690
173	1	0	103838
174	1	0	99375
175	1	0	73985
176	1	0	37240
177	7	8	158210
178	1	0	186739
179	5	5	210658
180	1	0	168472
181	1	0	41891
182	1	0	66486
183	1	0	198735
184	1	0	93321
185	1	0	158759
186	1	0	148850
187	16	21	171169
188	1	0	27745
189	1	0	62944
190	1	0	40191
191	1	0	36723
192	1	0	79590
193	1	0	71251
