node	degree	length	cluster
s82693	3	736	1
s487	4	45	3
s3134	5	785	1
s140249	2	22	3
s135	3	284	1
s4737	4	115	1
s800	3	165	1
s82603	2	610	1
s143324	2	106	1
s114935	4	1081	1
s81453	4	190	1
s105681	2	90	3
s3712	4	12140	3
s465	3	194	1
s5207	4	49	3
s82125	2	80	1
s105757	2	148	3
s5282	3	524	3
s1510	4	94856	1
s1478	4	60705	3
s4275	3	16	1
s4582	3	2	3
s131933	2	276	1
s120783	2	331	1
s105495	2	157	3
s105072	2	62	1
s81748	3	319	3
s134670	2	291	1
s82498	2	965	1
s5117	4	15141	3
s3913	4	45559	3
s445	3	280	3
s134730	2	38	3
s131886	2	108	3
s2444	4	137781	1
s82702	2	1	1
s2734	5	49614	3
s134702	2	622	1
s121008	4	57	1
s4894	4	331	1
s81576	4	413	1
s114895	2	49	3
s120993	2	137	3
s82816	3	16	3
s105028	3	85	1
s83302	4	142	1
s428	4	69549	3
s2200	4	333597	3
s3768	4	227645	1
s1441	4	85383	1
s4394	3	47	1
s1105	4	40086	3
s81798	2	323	1
s596	2	203	1
s1183	4	317056	1
s2724	2	330	3
s114617	3	35	3
s105721	4	101	1
s104985	2	80	1
s105812	2	81	3
s3483	4	228881	1
s105088	2	1	1
s82066	3	101	1
s121153	2	279	1
s871	3	15	3
s83224	2	41	1
s131892	2	37	1
s2450	4	242721	1
s143426	2	280	1
s138303	2	349	1
s1094	3	4415	3
s138244	2	86	1
s81733	2	55	3
s105782	2	5	3
s768	3	4	1
s2086	2	97	1
s4326	2	1481	1
s2135	2	58	1
s3561	2	57	1
s105242	2	10	1
s114734	2	323	3
s115057	2	724	1
s129054	2	106	1
s134766	2	601	3
s83219	3	21	3
s5167	4	8	1
s3127	4	414	1
s131929	2	2	3
s795	4	174	1
s138260	2	400	3
s82250	3	2	1
s3991	2	64	1
s81421	3	164	1
s75	2	55	3
s82863	2	1	1
s2916	2	116	1
s114579	2	327	3
s4486	2	332	1
s129217	2	1540	1
s105399	2	121	1
