node	length	degree	branching	terminal
s1662	25344	4	True	False
s105005	4	2	False	False
s129066	82	2	False	False
s114662	210	2	False	False
s120924	152	2	False	False
s105512	115	2	False	False
s173	1	2	False	False
s125582	595	4	True	False
s4721	46814	4	True	False
s121063	99	2	False	False
s828	6977	4	True	False
s922	131	4	True	False
s1613	75	4	True	False
s2439	521345	4	True	False
s115034	58	2	False	False
s4679	56	2	False	False
s3192	64	3	True	False
s83056	23	2	False	False
s120956	1455	2	False	False
s83284	54	3	True	False
s82426	431	3	True	False
s3053	1477	4	True	False
s129082	94	2	False	False
s82928	121	3	True	False
s105658	1197	2	False	False
s114827	216	2	False	False
s140404	6	2	False	False
s140514	21	2	False	False
s81983	351	2	False	False
s165	7423	4	True	False
s1948	58	4	True	False
s129153	108	3	True	False
s3262	107441	2	False	False
s2165	249	2	False	False
s4378	190107	4	True	False
s5082	89	4	True	False
s82446	24	3	True	False
s82644	52	2	False	False
s82040	84	4	True	False
s929	56035	4	True	False
s138230	50	2	False	False
s2809	101878	4	True	False
s82033	120	2	False	False
s1826	3	2	False	False
s3111	161	4	True	False
s4223	50	2	False	False
s5229	22389	4	True	False
s2008	6514	4	True	False
s82574	199	3	True	False
s105106	58	2	False	False
s330	9	3	True	False
s1114	419	4	True	False
s3141	68	2	False	False
s82179	100	2	False	False
s4338	50743	4	True	False
s125417	336	2	False	False
s125521	2	2	False	False
s105053	56	2	False	False
s115093	58	2	False	False
s4547	171	4	True	False
s1242	266	2	False	False
s1590	244811	4	True	False
s81607	76	2	False	False
s2127	327500	4	True	False
s4759	53650	4	True	False
s2734	49614	5	True	False
s1309	65705	4	True	False
s131966	73	2	False	False
s2621	16	4	True	False
s2609	144	2	False	False
s82723	14	4	True	False
s83037	12	4	True	False
s1775	303371	4	True	False
s82650	169	3	True	False
s2195	14	3	True	False
s192	491	4	True	False
s346	25527	4	True	False
s3611	75953	4	True	False
s105428	8	3	True	False
s2031	349	2	False	False
s2467	60	2	False	False
s2765	67	2	False	False
s3341	173500	4	True	False
s781	27653	4	True	False
s125353	56124	3	True	False
s5267	63	2	False	False
s81925	238	3	True	False
s82743	21	4	True	False
s1188	32875	5	True	False
s120832	324	2	False	False
s1182	50000	2	False	False
s4036	37	3	True	False
s1656	686	5	True	False
s82249	12	3	True	False
s120818	82	2	False	False
s137983	1822	3	True	False
s4600	1985	4	True	False
s82206	55	3	True	False
s5087	234	3	True	False
s5395	18056	2	False	False
s114940	287	2	False	False
s120778	62	2	False	False
s83147	1562	2	False	False
s1719	65	2	False	False
s105774	1752	3	True	False
s5327	84	2	False	False
s82421	12	3	True	False
s82060	55	2	False	False
s1366	129	5	True	False
s3260	20	3	True	False
s3831	280	4	True	False
s114738	318	2	False	False
s131910	76	2	False	False
s82854	50	3	True	False
s105242	10	2	False	False
s2228	11087	4	True	False
s3767	160284	4	True	False
s139610	85	2	False	False
s4339	187687	4	True	False
s134622	7	2	False	False
s4943	46305	4	True	False
s134674	14	2	False	False
s926	170144	4	True	False
s131917	72	2	False	False
s4273	87	3	True	False
s83272	1	2	False	False
s1581	92651	4	True	False
s120939	4	2	False	False
s83195	11	2	False	False
s83164	43	3	True	False
s104829	162	2	False	False
s82937	8	4	True	False
s3905	125786	4	True	False
s140402	55	2	False	False
s3039	195	2	False	False
s4635	83	2	False	False
s82101	4	2	False	False
s4041	163	2	False	False
s143349	168	2	False	False
s464	1251	5	True	False
s4554	56	2	False	False
s3031	1529	2	False	False
s134776	69	2	False	False
s2169	470450	4	True	False
s83168	45	4	True	False
s81597	95	2	False	False
s82632	46	3	True	False
s134694	55	2	False	False
s105426	25	5	True	False
s105619	237	4	True	False
s3844	31908	4	True	False
s114935	1081	4	True	False
s4648	336	2	False	False
s271	3380	4	True	False
s104900	137	3	True	False
s81909	1474	3	True	False
s81625	56	2	False	False
s105353	251	4	True	False
s3051	278	2	False	False
s138328	154	2	False	False
s5066	245	2	False	False
s283	74	4	True	False
s114575	136	2	False	False
s125456	24	2	False	False
s4061	42738	4	True	False
s1912	79	2	False	False
s4944	52	2	False	False
s81732	233	2	False	False
s2960	44	4	True	False
s538	53	4	True	False
s125364	47	2	False	False
s114962	93	4	True	False
s758	46	4	True	False
s82126	135	2	False	False
s82586	21	3	True	False
s81383	2126	2	False	False
s4188	47450	4	True	False
s138273	163	2	False	False
s114931	1997	4	True	False
s5126	8028	4	True	False
s105693	196	4	True	False
s105136	75	2	False	False
s81643	510	3	True	False
s104875	12	2	False	False
s5337	405	2	False	False
s81717	84	3	True	False
s82840	524	3	True	False
s132054	88	2	False	False
s83267	74	4	True	False
s81532	9	2	False	False
s3865	46238	4	True	False
s114644	316	2	False	False
s5052	14796	4	True	False
s83321	188	2	False	False
s830	37824	4	True	False
s129054	106	2	False	False
s3199	21292	2	False	False
s143340	129	2	False	False
s4894	331	4	True	False
s125384	93	2	False	False
s138248	261	2	False	False
s322	28779	3	True	False
s140460	307	2	False	False
s114791	75	2	False	False
s1623	316466	4	True	False
s138297	1180	3	True	False
s2166	88313	4	True	False
s2261	74	2	False	False
s121160	331	2	False	False
s784	12	4	True	False
s2477	108005	4	True	False
s4225	161	2	False	False
s2148	30531	4	True	False
s3637	679	4	True	False
s105237	52	2	False	False
s82115	162	2	False	False
s3995	23496	4	True	False
s105302	25	3	True	False
s3989	52	2	False	False
s82210	23	3	True	False
s3932	128562	4	True	False
s120795	63	2	False	False
s3789	3	2	False	False
s4164	46	3	True	False
s83242	163	4	True	False
s83227	52	4	True	False
s2506	10317	4	True	False
s140507	63	2	False	False
s2170	15970	4	True	False
s3414	53270	4	True	False
s105081	495	2	False	False
s4582	2	3	True	False
s2845	98	2	False	False
s82819	1	2	False	False
s4649	144784	5	True	False
s3068	158	2	False	False
s83143	1	2	False	False
s699	3470	4	True	False
s4146	21	3	True	False
s115079	148	2	False	False
s104841	13	2	False	False
s3150	17	5	True	False
s82320	378	2	False	False
s83255	253	3	True	False
s2744	59598	4	True	False
s131950	53	3	True	False
s912	122	2	False	False
s4502	33437	4	True	False
s1879	47975	4	True	False
s420	102	3	True	False
s82750	15	3	True	False
s2527	11557	4	True	False
s4453	5	2	False	False
s3335	77	2	False	False
s1330	60	2	False	False
s2840	90	2	False	False
s3433	956	2	False	False
s1117	45	2	False	False
s81736	83	3	True	False
s105673	2	3	True	False
s81700	98	4	True	False
s83214	18	3	True	False
s3207	590	2	False	False
s120826	35	2	False	False
s83325	1003	3	True	False
s4469	50	2	False	False
s4590	8	4	True	False
s140433	230	2	False	False
s2225	734	2	False	False
s114686	210	2	False	False
s82332	41	3	True	False
s3756	12	4	True	False
s114585	277	3	True	False
s121030	132	2	False	False
s857	20895	4	True	False
s125342	1761	2	False	False
s120789	133	2	False	False
s4693	306	2	False	False
s83146	6334	2	False	False
s2907	6050	2	False	False
s5100	15	3	True	False
s114622	296	2	False	False
s3132	414	4	True	False
s105807	152	2	False	False
s114518	7	2	False	False
s81711	70	2	False	False
s81558	118	4	True	False
s1015	86382	4	True	False
s5086	284	4	True	False
s230	244	4	True	False
s138315	233	2	False	False
s82291	150	2	False	False
s63	1108	4	True	False
s4763	6724	4	True	False
s125590	168	2	False	False
s125584	1303	4	True	False
s104856	28	2	False	False
s114901	514	4	True	False
s1102	20523	4	True	False
s4504	239487	4	True	False
s5153	23313	4	True	False
s125426	277	2	False	False
s121028	562	2	False	False
s5405	162	2	False	False
s668	154	4	True	False
s529	508	4	True	False
s115094	4	2	False	False
s5299	248	3	True	False
s3134	785	5	True	False
s1140	73699	4	True	False
s105255	6	2	False	False
