node	cluster
s82693	1
s487	1
s3134	1
s140249	1
s135	1
s4737	1
s800	1
s82603	3
s143324	1
s114935	1
s81453	1
s105681	1
s3712	1
s465	1
s5207	1
s82125	1
s105757	1
s5282	3
s1510	1
s1478	1
s4275	1
s4582	1
s131933	1
s120783	1
s105495	1
s105072	1
s81748	1
s134670	1
s82498	1
s5117	1
s3913	1
s445	1
s134730	1
s131886	1
s2444	1
s82702	1
s2734	1
s134702	1
s121008	1
s4894	1
s81576	1
s114895	1
s120993	1
s82816	1
s105028	1
s83302	1
s428	1
s2200	1
s3768	1
s1441	1
s4394	1
s1105	1
s81798	1
s596	1
s1183	1
s2724	1
s114617	1
s105721	1
s104985	1
s105812	1
s3483	1
s105088	1
s82066	1
s121153	1
s871	1
s83224	1
s131892	0
s2450	1
s143426	1
s138303	1
s1094	1
s138244	1
s81733	1
s105782	1
s768	1
s2086	1
s4326	1
s2135	1
s3561	1
s105242	2
s114734	1
s115057	1
s129054	1
s134766	1
s83219	1
s5167	1
s3127	1
s131929	1
s795	1
s138260	1
s82250	1
s3991	1
s81421	1
s75	1
s82863	1
s2916	1
s114579	1
s4486	1
s129217	1
s105399	1
s1402	1
s140510	1
s105262	1
s138245	1
s82156	1
s137984	1
s82354	1
s909	1
s4898	1
s129150	1
s549	1
s134764	1
s4473	1
s105208	1
s397	1
s150	1
s2017	1
s146	1
s4680	1
s138296	1
s104791	1
s120933	1
s3048	1
s125532	2
s767	1
s5019	1
s45	1
s4095	1
s395	1
s105210	1
s1078	1
s5119	1
s105514	1
s5037	1
s129241	1
s82667	2
s139653	1
s954	1
s1498	1
s83111	1
s114661	1
s82756	1
s5238	1
s5018	1
s2338	1
s1861	1
s129166	1
s105609	1
s132073	1
s620	1
s82961	1
s104878	1
s105148	1
s3490	1
s1044	1
s364	1
s125412	1
s138241	1
s81920	1
s105458	1
s3976	1
s114908	1
s83122	1
s4437	1
s112	1
s81934	1
s114989	1
s114743	1
s137946	1
s3318	1
s105121	1
s105554	1
s105133	1
s1903	1
s1421	1
s105704	1
s81742	1
s3348	1
s81366	1
s5008	1
s120888	1
s82450	1
s114928	1
s1415	1
s82650	2
s129	1
s82807	1
s121156	1
s140226	1
s105223	1
s105	1
s105387	1
s4286	1
s131913	1
s693	1
s82114	1
s2646	1
s114864	1
s82035	1
s83268	1
s3410	1
s134629	1
s2622	1
s4739	1
s105530	1
s125407	1
s935	1
s114516	1
s4174	1
s4855	1
s143422	1
s5079	1
s2704	1
s81778	1
s82653	2
s138253	1
s529	1
s3057	1
s4277	1
s82195	1
s1736	1
s140251	1
s114848	1
s82758	1
s2222	1
s618	1
s3316	1
s105132	1
s114907	1
s4686	1
s104919	1
s140496	1
s1043	1
s3050	1
s3767	1
s2237	1
s4758	1
s3326	1
s129196	3
s4222	1
s2493	1
s4477	1
s134681	1
s140519	1
s2837	1
s140413	1
s81937	1
s4089	1
s82313	1
s4030	1
s82262	1
s104928	1
s125458	1
s140270	1
s105043	1
s107	1
s1662	1
s125423	1
s2766	1
s120825	1
s139612	1
s3113	1
s121181	1
s131906	1
s131952	1
s81878	1
s138345	1
s114930	1
s114634	1
s114784	1
s105532	1
s2092	1
s4047	1
s948	1
s82204	1
s125355	1
s3553	1
s3409	1
s81552	1
s104818	1
s2677	1
s105450	1
s907	1
s1342	1
s81924	1
s125615	1
s4874	1
s914	1
s734	1
s114711	1
s3335	1
s82743	1
s1972	1
s3786	1
s105505	1
s140486	1
s2174	1
s1902	1
s1796	1
s120853	1
s81930	1
s115076	1
s139623	1
s104907	1
s129128	1
s114868	1
s140255	1
s138229	1
s81834	1
s82224	1
s104924	1
s121034	1
s105292	1
s105684	1
s114782	1
s4139	1
s81721	1
s3245	1
s82159	1
s3919	1
s4872	1
s83240	1
s4756	1
s831	1
s687	1
s132080	1
s105712	1
s129130	1
s81619	1
s82465	1
s2722	1
s1443	1
s2448	1
s1144	1
s131983	1
s1288	1
s131940	1
s114544	1
s3194	1
s894	1
s4806	1
s2457	1
s82525	1
s4726	1
s82745	1
s134618	1
s82197	1
s137944	1
s82494	1
s82873	1
s129008	1
s134741	1
s82110	1
s2401	1
s4199	1
s4307	1
s1883	1
s3868	1
s3538	1
s125349	1
s2409	1
s2985	1
s137963	1
s1913	0
s82842	1
s105202	1
s104908	1
s3103	1
s120940	1
s129183	1
s129092	1
s3000	1
s134721	1
s1085	1
s114599	1
s1899	1
s2443	1
s3367	1
s256	1
s120820	1
s121032	1
s140234	1
s81747	1
s115041	1
s1066	1
s2895	1
s83252	1
s114818	1
s552	1
s1764	1
s81436	1
s105245	2
s5068	1
s2069	1
s105380	1
s1844	1
s120746	1
s120968	1
s114662	1
s134676	1
s989	1
s1623	1
s3711	1
s82943	1
s82021	1
s125505	1
s4996	1
s83201	1
s1607	1
s2753	1
s3969	1
s1561	1
s105378	1
s103	1
s139625	1
s81891	1
s4514	1
s422	1
s4812	1
s105403	1
s105499	1
s131994	1
s129026	1
s585	1
s2432	1
s1946	0
s82536	1
s5138	1
s132075	1
s4324	1
s104861	1
s81953	1
s134800	1
s3885	1
s82279	1
s551	1
s1788	1
s850	1
s4742	1
s114910	1
s1602	1
s1399	1
s129029	1
s114749	1
s121176	1
s82448	1
s4712	1
s2526	1
s2575	1
s89	1
s2836	1
s105255	1
s82120	1
s120805	1
s140467	1
s131926	1
s5332	1
s81736	1
s114764	1
s2176	1
s4271	1
s4220	1
s4954	1
s105207	1
s114829	1
s114849	1
s4020	1
s992	1
s104918	1
s1093	1
s5191	1
s433	1
s1103	1
s82727	1
s115034	1
s3992	1
s114872	1
s3429	1
s4673	1
s121090	1
s104825	1
s129062	1
s2453	1
s143410	1
s134641	1
s1807	1
s120916	1
s2749	1
s811	1
s2746	1
s120956	1
s4407	1
s4940	1
s105760	1
s2750	1
s105102	1
s5322	1
s3823	1
s105565	1
s115021	1
s83320	1
s378	1
s114708	1
s105580	1
s82927	1
s3639	1
s82718	1
s104969	1
s4228	1
s3402	1
s3033	1
s82885	1
s264	1
s469	1
s4393	1
s82561	3
s2170	1
s5434	1
s2227	1
s4883	1
s129202	2
s2785	1
s105384	1
s81663	1
s5267	3
s81835	1
s82751	1
s125361	1
s2070	1
s82221	1
s105188	1
s3927	1
s2361	1
s3942	1
s129001	1
s82013	1
s815	1
s1820	1
s120829	1
s2692	1
s125599	1
s686	1
s81707	1
s114804	1
s68	1
s238	1
s105290	1
s105754	1
s131976	1
s1751	1
s104958	1
s1907	1
s1106	1
s81675	1
s81466	1
